2018-07-02 15:14:24 1036 [restartedMain] INFO  com.wyc.DatamsecurityApplication - Starting DatamsecurityApplication on DESKTOP-U1CJN0C with PID 1204 (C:\Users\haima\IdeaProjects\datamsecurity\target\classes started by haima in C:\Users\haima\IdeaProjects\datamsecurity) 
2018-07-02 15:14:24 1037 [restartedMain] INFO  com.wyc.DatamsecurityApplication - The following profiles are active: dev 
2018-07-02 15:14:24 1085 [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@36b64a27: startup date [Mon Jul 02 15:14:24 CST 2018]; root of context hierarchy 
2018-07-02 15:14:24 1212 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final 
2018-07-02 15:14:26 2586 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode! 
2018-07-02 15:14:26 3097 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfiguration' of type [com.wyc.configuration.ShiroConfiguration$$EnhancerBySpringCGLIB$$b6c86d91] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 15:14:26 3155 [restartedMain] INFO  c.w.c.ShiroConfiguration - myRealm注册完成 
2018-07-02 15:14:27 3363 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 15:14:27 3378 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$2fbcba05] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 15:14:27 3384 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'baseDataSource' of type [com.wyc.configuration.BaseDataSource$$EnhancerBySpringCGLIB$$e9d5a342] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 15:14:27 3777 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 15:14:27 4035 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 15:14:27 4043 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 15:14:27 4043 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userInfoMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 15:14:27 4044 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userInfoMapper' of type [com.sun.proxy.$Proxy70] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 15:14:27 4049 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'baseMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 15:14:27 4049 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'baseMapper' of type [com.sun.proxy.$Proxy71] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 15:14:27 4051 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'baseServie' of type [com.wyc.service.impl.BaseServiceClientImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 15:14:27 4051 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userService' of type [com.wyc.service.impl.UserServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-02 15:14:27 4051 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'myRealm' of type [com.wyc.common.MyRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
